batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.03-00-58-node17_04,1,17,0,04,2,0.8638062105,0.8756530825,0.9999182302,0.7602630982,3933
batch_1,2013-12-27.03-00-58-node17_04,1,19,0,04,1,0.7581137309,0.7646894236,0.9998729165,0.6104534286,3636
batch_1,2013-12-27.03-00-58-node17_04,1,19,0,04,2,0.8640989308,0.8761755486,0.9999182302,0.7607167158,3935
batch_1,2013-12-27.03-00-58-node17_04,1,1,0,04,1,0.7064766839,0.7630106323,0.9998002973,0.5461646305,4146
batch_1,2013-12-27.03-00-58-node17_04,1,1,0,04,2,0.8313069909,0.8573667712,0.9998893785,0.711313394,4068
batch_1,2013-12-27.03-00-58-node17_04,1,3,0,04,1,0.7440706012,0.7548964745,0.9998620799,0.5924462011,3678
batch_1,2013-12-27.03-00-58-node17_04,1,3,0,04,2,0.8479569617,0.8646812957,0.9999058451,0.7360462531,3979
batch_1,2013-12-27.03-00-58-node17_04,1,5,0,04,1,0.7587164884,0.7641298265,0.9998741831,0.6112354521,3625
batch_1,2013-12-27.03-00-58-node17_04,1,5,0,04,2,0.8578028747,0.8730407524,0.9999124598,0.751011236,3964
batch_1,2013-12-27.03-00-58-node17_04,1,7,0,04,1,0.7516889563,0.7627308338,0.9998658797,0.602164789,3679
batch_1,2013-12-27.03-00-58-node17_04,1,7,0,04,2,0.86195806,0.8751306165,0.9999162598,0.7574044766,3945
batch_1,2013-12-27.03-00-58-node17_04,1,9,0,04,1,0.7429912995,0.7526580862,0.9998625021,0.5910788838,3667
batch_1,2013-12-27.03-00-58-node17_04,1,9,0,04,2,0.8625336927,0.8777429467,0.9999151339,0.7582938389,3963
batch_1,2013-12-27.03-00-58-node17_04,3,11,0,04,1,0.8097269625,0.7965864578,0.999914011,0.6802867384,3458
batch_1,2013-12-27.03-00-58-node17_04,3,11,0,04,2,0.8926183296,0.8892371996,0.9999444078,0.8060620412,3799
batch_1,2013-12-27.03-00-58-node17_04,3,13,0,04,1,0.8069180607,0.7963066592,0.9999107741,0.6763307985,3480
batch_1,2013-12-27.03-00-58-node17_04,3,13,0,04,2,0.8956202465,0.8921107628,0.9999460966,0.8109712657,3798
batch_1,2013-12-27.03-00-58-node17_04,3,15,0,04,1,0.8114415825,0.7977056519,0.9999152776,0.682710728,3453
batch_1,2013-12-27.03-00-58-node17_04,3,15,0,04,2,0.8940744625,0.8908045977,0.9999451115,0.808440019,3800
batch_1,2013-12-27.03-00-58-node17_04,3,17,0,04,1,0.8151848152,0.7991046447,0.999918796,0.6880269815,3433
batch_1,2013-12-27.03-00-58-node17_04,3,17,0,04,2,0.8935555847,0.8892371996,0.9999455337,0.8075919336,3791
batch_1,2013-12-27.03-00-58-node17_04,3,19,0,04,1,0.815830833,0.7988248461,0.9999197812,0.6889478764,3425
batch_1,2013-12-27.03-00-58-node17_04,3,19,0,04,2,0.8949027851,0.8897596656,0.9999468003,0.8097955302,3784
batch_1,2013-12-27.03-00-58-node17_04,3,1,0,04,1,0.7385351588,0.7772803581,0.9998351995,0.5854583772,3949
batch_1,2013-12-27.03-00-58-node17_04,3,1,0,04,2,0.8685372824,0.8733019854,0.9999258301,0.7676234214,3870
batch_1,2013-12-27.03-00-58-node17_04,3,3,0,04,1,0.8112804444,0.7968662563,0.9999156999,0.6824826264,3447
batch_1,2013-12-27.03-00-58-node17_04,3,3,0,04,2,0.8851342502,0.8827063741,0.9999397634,0.7939379699,3807
batch_1,2013-12-27.03-00-58-node17_04,3,5,0,04,1,0.8231419161,0.8041410185,0.9999247069,0.6994402531,3409
batch_1,2013-12-27.03-00-58-node17_04,3,5,0,04,2,0.888626525,0.8847962382,0.9999425781,0.7995750708,3795
batch_1,2013-12-27.03-00-58-node17_04,3,7,0,04,1,0.8043047295,0.7946278679,0.9999088038,0.6726669825,3488
batch_1,2013-12-27.03-00-58-node17_04,3,7,0,04,2,0.8932421772,0.8874085684,0.9999463781,0.8070800665,3778
batch_1,2013-12-27.03-00-58-node17_04,3,9,0,04,1,0.8017057569,0.789031897,0.999909789,0.6690391459,3461
batch_1,2013-12-27.03-00-58-node17_04,3,9,0,04,2,0.8919485969,0.8884535005,0.9999441263,0.8049704142,3798
batch_1,2013-12-27.03-00-58-node17_04,5,11,0,04,1,0.8227577356,0.8072188025,0.9999220329,0.6988856589,3439
batch_1,2013-12-27.03-00-58-node17_04,5,11,0,04,2,0.8974427278,0.8800940439,0.9999562299,0.8139647258,3680
batch_1,2013-12-27.03-00-58-node17_04,5,13,0,04,1,0.8182336182,0.8035814214,0.9999192182,0.6923818708,3446
batch_1,2013-12-27.03-00-58-node17_04,5,13,0,04,2,0.8968275127,0.8787878788,0.9999563707,0.8129531174,3674
batch_1,2013-12-27.03-00-58-node17_04,5,15,0,04,1,0.8216943331,0.8033016228,0.999923581,0.6973524411,3414
batch_1,2013-12-27.03-00-58-node17_04,5,15,0,04,2,0.8972137048,0.8790491118,0.9999566521,0.8135880077,3673
batch_1,2013-12-27.03-00-58-node17_04,5,17,0,04,1,0.8241191636,0.8049804141,0.9999252698,0.7008526188,3408
batch_1,2013-12-27.03-00-58-node17_04,5,17,0,04,2,0.8985584624,0.8793103448,0.9999580595,0.8158022298,3664
batch_1,2013-12-27.03-00-58-node17_04,5,19,0,04,1,0.8249496982,0.8030218243,0.9999276623,0.7020547945,3384
batch_1,2013-12-27.03-00-58-node17_04,5,19,0,04,2,0.897822893,0.8780041797,0.9999580595,0.8145904023,3659
batch_1,2013-12-27.03-00-58-node17_04,5,1,0,04,1,0.7580104572,0.7909904868,0.9998511026,0.6103195164,3885
batch_1,2013-12-27.03-00-58-node17_04,5,1,0,04,2,0.8721527321,0.8652037618,0.9999359634,0.7732897502,3767
batch_1,2013-12-27.03-00-58-node17_04,5,3,0,04,1,0.8268441172,0.8170117515,0.9999199219,0.7048032826,3489
batch_1,2013-12-27.03-00-58-node17_04,5,3,0,04,2,0.8882392027,0.8730407524,0.9999500374,0.7989481234,3697
batch_1,2013-12-27.03-00-58-node17_04,5,5,0,04,1,0.8353344768,0.8175713486,0.9999296326,0.7172312224,3422
batch_1,2013-12-27.03-00-58-node17_04,5,5,0,04,2,0.8920651884,0.8722570533,0.999955104,0.8051603569,3658
batch_1,2013-12-27.03-00-58-node17_04,5,7,0,04,1,0.8213424152,0.8097369894,0.9999185145,0.6968456537,3473
batch_1,2013-12-27.03-00-58-node17_04,5,7,0,04,2,0.8947649573,0.8751306165,0.9999563707,0.8095698405,3660
batch_1,2013-12-27.03-00-58-node17_04,5,9,0,04,1,0.8180652515,0.8033016228,0.9999192182,0.6921407907,3445
batch_1,2013-12-27.03-00-58-node17_04,5,9,0,04,2,0.8969017094,0.8772204807,0.9999574966,0.8130750605,3660
batch_1,2013-12-27.03-00-58-node17_04,7,11,0,04,1,0.809373203,0.7876329043,0.9999202034,0.6797874909,3382
batch_1,2013-12-27.03-00-58-node17_04,7,11,0,04,2,0.9069643806,0.8913270637,0.9999600299,0.829766537,3696
batch_1,2013-12-27.03-00-58-node17_04,7,13,0,04,1,0.8068965517,0.7856743145,0.9999186553,0.676300578,3386
batch_1,2013-12-27.03-00-58-node17_04,7,13,0,04,2,0.906673757,0.8908045977,0.9999600299,0.8292801556,3694
batch_1,2013-12-27.03-00-58-node17_04,7,15,0,04,1,0.80911188,0.7851147174,0.9999217515,0.6794188862,3362
batch_1,2013-12-27.03-00-58-node17_04,7,15,0,04,2,0.9076636509,0.8910658307,0.9999610151,0.8309378806,3688
batch_1,2013-12-27.03-00-58-node17_04,7,17,0,04,1,0.8122018216,0.785954113,0.9999248476,0.6837877313,3343
batch_1,2013-12-27.03-00-58-node17_04,7,17,0,04,2,0.907057257,0.8897596656,0.9999611558,0.8299220273,3682
batch_1,2013-12-27.03-00-58-node17_04,7,19,0,04,1,0.8123370982,0.7848349189,0.9999258328,0.6839795172,3332
batch_1,2013-12-27.03-00-58-node17_04,7,19,0,04,2,0.906812425,0.8884535005,0.9999617188,0.8295121951,3673
batch_1,2013-12-27.03-00-58-node17_04,7,1,0,04,1,0.7501694456,0.7742025741,0.9998541987,0.6002169197,3803
