hemisphere,kappa,se,sn,jaccard,subject,num_atlases
101,0.8596126491,0.889090086,0.999888384,0.7537900595,09,7
1,0,0,0.9996254581,0,76,6
101,0,0,0.9996192168,0,76,6
1,0.9054121152,0.9049627792,0.9999466581,0.8271716943,11,7
101,0.9142409607,0.9184369263,0.9999513041,0.842029334,11,7
1,0.8913043478,0.8942307692,0.9999325815,0.8039215686,14,7
101,0.8890246883,0.9018100669,0.9999279391,0.800220022,14,7
1,0.9066788655,0.9331450094,0.999925122,0.8292887029,13,7
101,0.8983173077,0.9477555161,0.999909925,0.8154047567,13,7
1,0.9077997396,0.9209894332,0.9999366641,0.8311660165,15,7
101,0.9057482535,0.9196117471,0.9999372284,0.8277329749,15,7
1,0.8862752915,0.9144385027,0.9998979488,0.7957759084,22,7
101,0.8567867899,0.8693361433,0.9998931647,0.7494549419,22,7
1,0.9056040912,0.9271378709,0.9999223033,0.8274922118,23,7
101,0.9126502819,0.9223655914,0.9999352522,0.839334638,23,7
1,0.8572469046,0.8709916132,0.999908094,0.7501593372,28,7
101,0.864628821,0.9151457691,0.9998802238,0.7615384615,28,7
1,0.9110425663,0.92927259,0.9999380732,0.83661908,31,7
101,0.8834230079,0.91507431,0.9999169642,0.7911886186,31,7
1,0.8807649044,0.9012430939,0.9999111867,0.7869346734,40,7
101,0.8744292237,0.873033964,0.9999235723,0.7768762677,40,7
1,0.92835097,0.9096997192,0.9999673447,0.8662826579,57,7
101,0.9160074453,0.8998857143,0.9999600268,0.8450311226,57,7
1,0.9001705365,0.9252966559,0.9999318831,0.8184637405,46,7
101,0.8832798773,0.9193033382,0.9999213307,0.790959041,46,7
1,0.8864852015,0.9250806252,0.9999080943,0.7961144321,59,7
101,0.8498452012,0.9004920722,0.9998874108,0.7388963661,59,7
1,0.8595704508,0.8681764005,0.9999103441,0.7537251656,64,7
101,0.8586194168,0.8681263996,0.9999128797,0.7522639069,64,7
1,0.9193346794,0.9103198781,0.9999481974,0.8507117438,67,7
101,0.9026995533,0.899380805,0.9999321506,0.8226548673,67,7
1,0.90175845,0.9190813479,0.9999217395,0.821093001,70,7
101,0.9072186837,0.9232929991,0.9999269478,0.8301923451,70,7
1,0.8613503058,0.9081578947,0.9998927567,0.7564664621,77,7
101,0.8041364028,0.8024570025,0.999889234,0.6724315421,77,7
1,0.9018766756,0.928,0.9999337134,0.8212890625,79,7
101,0.9125423729,0.932908234,0.9999432836,0.8391521197,79,7
1,0.8319623972,0.9007633588,0.9998829157,0.7122736419,03,8
101,0.85138466,0.9036626654,0.9998998014,0.7412269629,03,8
1,0.8693339244,0.9011948529,0.9998945781,0.7688688492,09,8
101,0.8436792025,0.9067445824,0.9998596769,0.7296238245,09,8
1,0,0,0.9996254451,0,76,7
101,0,0,0.9996192064,0,76,7
1,0.9107390155,0.9234107736,0.9999424367,0.8361072584,11,8
101,0.9165260288,0.915693904,0.9999552446,0.8459142104,11,8
1,0.8862247297,0.9396809571,0.9998978202,0.7956943858,13,8
101,0.9092661766,0.962009179,0.999914992,0.8336279275,13,8
1,0.8682378801,0.9122401848,0.9998962737,0.7671558049,14,8
101,0.8596200434,0.9125609096,0.9998905065,0.7538014311,14,8
1,0.9086924763,0.9498600153,0.9999221698,0.8326639893,15,8
101,0.9147286822,0.9484054965,0.9999320224,0.8428571429,15,8
1,0.8692227979,0.9363697254,0.9998624846,0.7686950147,22,8
101,0.8617315465,0.8966356795,0.9998827523,0.7570547561,22,8
1,0.9027624309,0.9616290019,0.9998990836,0.8227593152,23,8
101,0.9178112056,0.9514124294,0.9999241349,0.8481063658,23,8
1,0.8964732651,0.9383434771,0.999917527,0.812371134,31,8
101,0.8902216428,0.9399779736,0.9999121808,0.8021616541,31,8
1,0.8558024691,0.8850868233,0.9998989475,0.7479499353,28,8
101,0.8637798827,0.9215591915,0.9998758617,0.7602223104,28,8
1,0.889474287,0.9278375149,0.9999066848,0.8009488449,40,8
101,0.8860788863,0.8992229809,0.9999220255,0.7954592793,40,8
1,0.8995843947,0.9466704289,0.9999211888,0.8174951267,46,8
101,0.8829345178,0.9471257301,0.9999092302,0.7904053361,46,8
1,0.9249943349,0.9313255761,0.999949189,0.860455312,57,8
101,0.9278131635,0.9238900634,0.9999594645,0.8653465347,57,8
1,0.8990080076,0.9437892095,0.9999125986,0.8165436387,59,8
101,0.8763020833,0.9383714445,0.9998974042,0.7798377752,59,8
1,0.8849243856,0.8948626045,0.9999248412,0.7936003391,64,8
101,0.895136211,0.9152887306,0.9999282216,0.8101778879,64,8
1,0.878296146,0.9191254511,0.9998847198,0.7830018083,67,8
101,0.8718215923,0.9366323332,0.9998667074,0.7727692592,67,8
1,0.8818693206,0.9251021335,0.9998927475,0.7886996904,70,8
101,0.8883209245,0.9500831947,0.9998881059,0.7990803679,70,8
1,0.8264613779,0.917705013,0.9998527939,0.704247276,77,8
101,0.8008809431,0.8431533006,0.9998646114,0.6678910977,77,8
1,0.9000810154,0.9333520022,0.9999293512,0.8183157378,79,8
101,0.9181879648,0.9360352909,0.9999475055,0.84875,79,8
1,0.8268125088,0.8503028555,0.9998992354,0.7047573512,03,9
101,0.8065431932,0.7956788477,0.9999064091,0.6758042592,03,9
1,0.859651048,0.8818099955,0.999893873,0.7538491147,09,9
101,0.8508091332,0.8923506161,0.9998757185,0.7403549383,09,9
1,0,0,0.9996254516,0,76,8
101,0,0,0.9996192046,0,76,8
1,0.9162094763,0.9198798197,0.9999504584,0.8453750575,11,9
101,0.9216446858,0.9171384457,0.9999600296,0.854676259,11,9
1,0.9110832097,0.9357561547,0.999928922,0.836687631,13,9
101,0.920215255,0.9429393431,0.9999375085,0.8522210184,13,9
1,0.8880738287,0.9021634615,0.9999241377,0.7986805703,14,9
101,0.8852578068,0.8891320204,0.9999307532,0.7941368078,14,9
1,0.9171283744,0.9266317294,0.9999444049,0.8469409972,15,9
101,0.9232995658,0.9221874247,0.9999559464,0.8575268817,15,9
1,0.8664215686,0.9179831205,0.9998692381,0.7643243243,22,9
101,0.833817986,0.8795728244,0.9998574191,0.7149981529,22,9
1,0.9121972318,0.9487179487,0.9999178008,0.8385685885,23,9
101,0.9273481545,0.9370163371,0.9999451051,0.8645378818,23,9
1,0.8404177799,0.8543209877,0.9998981012,0.7247591119,28,9
101,0.8216746467,0.9135289535,0.9998319561,0.6973240833,28,9
1,0.9067026762,0.9200298954,0.9999382136,0.8293285426,31,9
101,0.8931838681,0.9309696481,0.999919498,0.8069848661,31,9
1,0.8399311532,0.8779083713,0.9998752985,0.7240356083,40,9
101,0.8660055351,0.8734589439,0.999913017,0.7636770388,40,9
1,0.8924689937,0.8934971838,0.9999401849,0.8058185177,46,9
101,0.8992141183,0.9245817976,0.9999345588,0.8168837675,46,9
1,0.9184939092,0.9040767386,0.9999583366,0.8492729879,57,9
101,0.9115255858,0.9201062032,0.9999424349,0.8374340949,57,9
