label,k,se,sp,j,atlas,template
101,0.7982180294,0.8286180631,0.9999581691,0.6641953772,002_S_0295,002_S_0413
1,0.6658560311,0.6062887511,0.9999554093,0.4990885891,002_S_0685,098_S_0149
101,0.6908502773,0.6674107143,0.99994548,0.5277091423,002_S_0685,098_S_0149
1,0.7854654057,0.6988485385,0.999983267,0.6467213115,002_S_0685,127_S_0431
101,0.5676605505,0.4419642857,0.9999762796,0.3963170536,002_S_0685,127_S_0431
1,0.8491869013,0.8441098317,0.9999701197,0.7379016647,002_S_0685,116_S_0382
101,0.6804860615,0.6375,0.9999513641,0.5157096425,002_S_0685,116_S_0382
1,0.85670194,0.8604960142,0.9999692003,0.7493251061,002_S_0685,094_S_1293
101,0.8285128672,0.8120535714,0.9999694761,0.7072317263,002_S_0685,094_S_1293
1,0.8520311513,0.8963684677,0.9999568804,0.7422075541,002_S_0685,094_S_1188
101,0.8398005636,0.8647321429,0.9999599144,0.7238415546,002_S_0685,094_S_1188
1,0.7477355072,0.7311780337,0.9999533867,0.5971066908,002_S_0685,067_S_0056
101,0.7987234043,0.8379464286,0.9999463994,0.6648955012,002_S_0685,067_S_0056
1,0.69257087,0.6275465013,0.9999616612,0.5297196262,002_S_0685,057_S_1217
101,0.750533049,0.7071428571,0.9999635001,0.6006825939,002_S_0685,057_S_1217
1,0.8036551078,0.7595217006,0.9999728778,0.6717587152,002_S_0685,067_S_0029
101,0.8232568914,0.7933035714,0.9999724182,0.6996062992,002_S_0685,067_S_0029
1,0.763062597,0.6532329495,0.999987772,0.6168966959,002_S_0685,021_S_0753
101,0.6810092961,0.5723214286,0.9999776587,0.5163109142,002_S_0685,021_S_0753
1,0.8669662921,0.854295837,0.9999758199,0.7651725506,002_S_0685,021_S_1109
101,0.8630594522,0.8651785714,0.999971223,0.759106933,002_S_0685,021_S_1109
1,0.7344689379,0.6492471213,0.9999753602,0.5803642122,002_S_0685,021_S_0642
101,0.7500619272,0.6758928571,0.9999739812,0.6000792707,002_S_0685,021_S_0642
1,0.6085932902,0.4579273694,0.9999902544,0.437394247,002_S_0685,016_S_0991
101,0.6764314248,0.5669642857,0.9999774749,0.5110663984,002_S_0685,016_S_0991
1,0.7222762646,0.6576616475,0.9999660743,0.5652835935,002_S_0685,021_S_0337
101,0.7597156398,0.715625,0.9999653389,0.6125334352,002_S_0685,021_S_0337
1,0.7785996055,0.6992914083,0.9999798652,0.637464675,002_S_0685,021_S_0343
101,0.7388235294,0.6308035714,0.9999841864,0.5858208955,002_S_0685,021_S_0343
1,0.8772618269,0.8910540301,0.9999708552,0.7813592233,002_S_0685,021_S_0159
101,0.8524377031,0.878125,0.9999624887,0.7428247734,002_S_0685,021_S_0159
1,0.2295521588,0.1895482728,0.9999041071,0.1296576795,002_S_0685,011_S_0168
101,0.7206099361,0.6540178571,0.9999668099,0.5632449058,002_S_0685,011_S_0168
1,0.8317173023,0.8547387068,0.9999583514,0.7119144227,002_S_0685,020_S_0213
101,0.8437299035,0.8785714286,0.9999579837,0.7296996663,002_S_0685,020_S_0213
1,0.819288613,0.7599645704,0.999980233,0.6938940558,002_S_0685,014_S_1095
101,0.8582732139,0.8232142857,0.9999804169,0.7517325724,002_S_0685,014_S_1095
1,0.8414209427,0.8024800709,0.9999782103,0.726252505,002_S_0685,011_S_0053
101,0.7621033125,0.734375,0.9999602822,0.6156437126,002_S_0685,011_S_0053
1,0.2919708029,0.2480070859,0.9999064056,0.1709401709,002_S_0685,011_S_0183
101,0.5267676768,0.465625,0.9999377571,0.3575591361,002_S_0685,011_S_0183
1,0.8477202302,0.8480956599,0.9999682809,0.7356895889,002_S_0685,014_S_0328
101,0.8366972477,0.8142857143,0.999972786,0.7192429022,002_S_0685,014_S_0328
1,0.2773091066,0.2838795394,0.9998414963,0.1609743847,002_S_0685,011_S_0016
101,0.5737290085,0.5566964286,0.9999209322,0.4022580645,002_S_0685,011_S_0016
1,0.848884843,0.8259521701,0.9999750844,0.7374456307,002_S_0685,011_S_0010
101,0.8386225523,0.8316964286,0.9999687406,0.7220930233,002_S_0685,011_S_0010
